sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,85.400000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,3317,
154500,7.0944061279296875,
163500,24.54625701904296875,
172500,27.7878570556640625,
181500,8.33261871337890625,
190500,4.840484619140625,
199500,6.4451446533203125,
208500,6.209716796875,
217500,4.73705291748046875,
226500,10.0726318359375,
235500,10.5088653564453125,
244500,4.761260986328125,
253500,6.5097808837890625,
262500,5.72270965576171875,
271500,3.54700469970703125,
280500,1.4633331298828125,
289500,2.35555267333984375,
298500,6.7936553955078125,
307500,5.176727294921875,
316500,2.66477203369140625,
325500,3.84072113037109375,
334500,19.46633148193359375,
343500,24.16402435302734375,
352500,15.45196533203125,
361500,1.73822784423828125,
370500,1.19455718994140625,
379500,3.89698028564453125,
388500,4.157684326171875,
397500,3.36212158203125,
406500,2.352874755859375,
415500,1.4277801513671875,
424500,1.6726837158203125,
433500,4.28646087646484375,
442500,2.288909912109375,
451500,0.38980865478515625,
460500,2.65064239501953125,
469500,4.424835205078125,
478500,2.2877197265625,
487500,2.7841339111328125,
496500,2.36307525634765625,
505500,15.0858001708984375,
514500,16.54785919189453125,
523500,18.5545654296875,
532500,3.26090240478515625,
541500,2.71440887451171875,
550500,2.0450592041015625,
559500,3.4583892822265625,
568500,3.11125946044921875,
577500,0.9722137451171875,
586500,1.0032958984375,
595500,-0.17955780029296875,
604500,-0.9668426513671875,
613500,0.38283538818359375,
622500,-0.85715484619140625,
631500,-1.731109619140625,
640500,-0.049163818359375,
649500,2.0358428955078125,
658500,1.70293426513671875,
667500,2.1996612548828125,
676500,12.308746337890625,
685500,9.4662933349609375,
694500,14.4304046630859375,
703500,8.62308502197265625,
712500,-1.5045623779296875,
721500,1.37078857421875,
730500,2.23577117919921875,
739500,-0.99132537841796875,
748500,-0.0142822265625,
757500,-0.32520294189453125,
766500,1.5193634033203125,
775500,3.246551513671875,
784500,2.4482879638671875,
793500,1.31575775146484375,
802500,-0.36136627197265625,
811500,-0.52616119384765625,
820500,-2.40813446044921875,
829500,-1.00531768798828125,
838500,-1.45108795166015625,
847500,7.354339599609375,
856500,4.8389739990234375,
865500,6.26776123046875,
874500,10.0144500732421875,
883500,-0.9284210205078125,
892500,-0.014739990234375,
901500,0.31491851806640625,
910500,-0.29763031005859375,
919500,1.4421539306640625,
928500,-0.4089508056640625,
937500,-1.3929290771484375,
946500,-3.41777801513671875,
955500,0.0792999267578125,
964500,1.59093475341796875,
973500,-0.05251312255859375,
982500,-1.24254608154296875,
991500,-1.67607879638671875,
1000500,-3.05089569091796875,
1009500,-0.822021484375,
1018500,4.75412750244140625,
1027500,2.75710296630859375,
1036500,1.87511444091796875,
1045500,8.0577850341796875,
1054500,4.744873046875,
1063500,-0.643341064453125,
1072500,0.08521270751953125,
1081500,-1.51230621337890625,
1090500,-2.49750518798828125,
1099500,-0.46613311767578125,
1108500,-2.34717559814453125,
1117500,-0.22556304931640625,
1126500,-0.49884033203125,
1135500,-1.41179656982421875,
1144500,-3.04160308837890625,
1153500,-1.398162841796875,
1162500,-0.933380126953125,
1171500,-0.977142333984375,
1180500,2.32660675048828125,
1189500,5.780670166015625,
1198500,7.82872772216796875,
1207500,3.03371429443359375,
1216500,3.46237945556640625,
1225500,7.006591796875,
1234500,0.058563232421875,
1243500,-1.268463134765625,
1252500,-2.636749267578125,
1261500,-1.80347442626953125,
1270500,-4.1425933837890625,
1279500,-2.593231201171875,
1288500,-3.28124237060546875,
1297500,-0.99346923828125,
1306500,-2.4295501708984375,
1315500,-3.18833160400390625,
1324500,-3.9659881591796875,
1333500,-1.06915283203125,
1342500,1.03891754150390625,
1351500,-1.20595550537109375,
1360500,6.29885101318359375,
1369500,4.243377685546875,
1378500,1.721405029296875,
1387500,-1.91834259033203125,
1396500,7.52081298828125,
1405500,2.8910675048828125,
1414500,-2.19231414794921875,
1423500,0.16123199462890625,
1432500,-1.34002685546875,
1441500,6.0437164306640625,
1450500,0.618896484375,
1459500,-2.0857696533203125,
1468500,-1.8109588623046875,
1477500,-3.35608673095703125,
1486500,-1.95458221435546875,
1495500,-1.8939971923828125,
1504500,-3.3715667724609375,
1513500,-0.17813873291015625,
1522500,-2.67333984375,
1531500,6.49527740478515625,
1540500,6.46585845947265625,
1549500,4.3815155029296875,
1558500,1.21491241455078125,
1567500,3.72794342041015625,
1576500,6.8042755126953125,
1585500,-0.9293365478515625,
1594500,-2.79210662841796875,
1603500,-3.34075927734375,
1612500,-3.82318878173828125,
1621500,-3.4384002685546875,
1630500,-0.878143310546875,
1639500,-3.100494384765625,
1648500,-2.83699798583984375,
1657500,-3.61907196044921875,
1666500,-2.6818084716796875,
1675500,-1.27239227294921875,
1684500,-0.95745086669921875,
